tax	barcode01	barcode02	barcode03	barcode04	barcode06	barcode07	barcode08	total
Bacteria;Pseudomonadati;Bacteroidota;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Mucilaginibacter	8.0	51.0	25.0	50.0	54.0	26.0	0.0	214.0
Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Dongiaceae;Aliidongia	28.0	24.0	33.0	88.0	16.0	23.0	0.0	212.0
Bacteria;Pseudomonadati;Planctomycetota;Planctomycetia;Isosphaerales;Isosphaeraceae;Aquisphaera	11.0	36.0	22.0	81.0	24.0	25.0	0.0	199.0
Bacteria;Pseudomonadati;Planctomycetota;Planctomycetia;Gemmatales;Gemmataceae;Urbifossiella	22.0	28.0	20.0	23.0	58.0	48.0	0.0	199.0
Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Devosiaceae;Devosia	26.0	35.0	31.0	6.0	43.0	55.0	0.0	196.0
Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Hyphomicrobiales_Incertae_sedis;Pseudorhodoplanes	49.0	38.0	52.0	14.0	28.0	8.0	0.0	189.0
Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Bacillaceae;Bacillus	4.0	16.0	10.0	40.0	12.0	26.0	75.0	183.0
Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Gammaproteobacteria_Incertae_sedis;Gammaproteobacteria_Incertae_sedis;Acidibacter	40.0	44.0	56.0	17.0	19.0	6.0	0.0	182.0
Bacteria;Bacillati;Actinomycetota;Thermoleophilia;Gaiellales;Gaiellaceae;Gaiella	29.0	35.0	50.0	27.0	24.0	11.0	0.0	176.0
Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Micropepsales;Micropepsaceae;Rhizomicrobium	40.0	41.0	31.0	33.0	10.0	15.0	0.0	170.0
Bacteria;Pseudomonadati;Planctomycetota;Planctomycetia;Isosphaerales;Isosphaeraceae;Paludisphaera	6.0	46.0	12.0	48.0	24.0	24.0	0.0	160.0
Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Phyllobacteriaceae;Mesorhizobium	29.0	31.0	50.0	5.0	25.0	16.0	0.0	156.0
Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Nitrosomonadales;Sterolibacteriaceae;Methyloversatilis	26.0	46.0	33.0	8.0	32.0	10.0	0.0	155.0
