tax	barcode01	barcode02	barcode03	barcode04	barcode06	barcode07	barcode08	total
Bacteria;Pseudomonadati;Myxococcota;Myxococcia;Myxococcales;Archangiaceae;Stigmatella	1.0	5.0	6.0	7.0	7.0	5.0	0.0	31.0
Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Gluconacetobacter	0.0	2.0	5.0	21.0	2.0	1.0	0.0	31.0
Bacteria;Pseudomonadati;Myxococcota;Myxococcia;Myxococcales;Archangiaceae;Vitiosangium	0.0	1.0	2.0	1.0	1.0	25.0	0.0	30.0
Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Herbaspirillum	3.0	6.0	0.0	4.0	9.0	8.0	0.0	30.0
Bacteria;Bacillati;Actinomycetota;Thermoleophilia;Solirubrobacterales;Patulibacteraceae;Patulibacter	6.0	7.0	7.0	0.0	6.0	3.0	0.0	29.0
Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Acetobacterales;Roseomonadaceae;Belnapia	0.0	0.0	0.0	19.0	1.0	9.0	0.0	29.0
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Propionibacteriales;Nocardioidaceae;Nocardioides	6.0	12.0	5.0	0.0	5.0	1.0	0.0	29.0
Bacteria;Pseudomonadati;Myxococcota;Myxococcota_Incertae_sedis;Polyangiales;Polyangiaceae;Polyangium	10.0	2.0	7.0	1.0	8.0	1.0	0.0	29.0
Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Propylenellaceae;Propylenella	11.0	6.0	4.0	0.0	5.0	2.0	0.0	28.0
Bacteria;Pseudomonadati;Bacteroidota;Chitinophagia;Chitinophagales;Chitinophagaceae;Flavipsychrobacter	6.0	10.0	1.0	0.0	7.0	4.0	0.0	28.0
Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Rhodovastum	0.0	3.0	2.0	18.0	1.0	4.0	0.0	28.0
Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Beijerinckiaceae;Methylocapsa	0.0	1.0	1.0	20.0	0.0	6.0	0.0	28.0
Bacteria;Bacillati;Cyanobacteriota;Cyanophyceae;Chroococcidiopsidales;Aliterellaceae;Aliterella	0.0	0.0	0.0	0.0	16.0	11.0	0.0	27.0
Bacteria;Pseudomonadati;Planctomycetota;Planctomycetia;Pirellulales;Pirellulaceae;Anatilimnocola	5.0	2.0	6.0	4.0	6.0	4.0	0.0	27.0
Bacteria;Thermotogati;Deinococcota;Deinococci;Trueperales;Trueperaceae;Truepera	0.0	0.0	0.0	0.0	19.0	7.0	0.0	26.0
Bacteria;Pseudomonadati;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae;Simulacricoccus	1.0	2.0	6.0	11.0	3.0	3.0	0.0	26.0
Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Nitrosomonadales;Sterolibacteriaceae;Sulfurisoma	6.0	2.0	12.0	1.0	4.0	0.0	0.0	25.0
Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Methylobacteriaceae;Psychroglaciecola	0.0	0.0	0.0	21.0	1.0	3.0	0.0	25.0
Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Acetobacterales;Roseomonadaceae;Dankookia	2.0	1.0	0.0	4.0	4.0	13.0	0.0	24.0
Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Steroidobacterales;Steroidobacteraceae;Steroidobacter	12.0	2.0	4.0	1.0	4.0	1.0	0.0	24.0
Bacteria;Pseudomonadati;Acidobacteriota;Blastocatellia;Blastocatellales;Blastocatellaceae;Aridibacter	3.0	1.0	6.0	0.0	7.0	6.0	0.0	23.0
Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Rhodoferax	2.0	4.0	5.0	0.0	8.0	4.0	0.0	23.0
Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Brevundimonas	0.0	0.0	6.0	0.0	9.0	7.0	0.0	22.0
Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Azospirillaceae;Azospirillum	2.0	0.0	5.0	10.0	3.0	2.0	0.0	22.0
Bacteria;Bacillati;Actinomycetota;Acidimicrobiia;Acidimicrobiales;Iamiaceae;Actinomarinicola	5.0	3.0	6.0	0.0	7.0	1.0	0.0	22.0
Bacteria;Pseudomonadati;Acidobacteriota;Blastocatellia;Blastocatellales;Blastocatellaceae;Blastocatella	2.0	1.0	4.0	0.0	14.0	1.0	0.0	22.0
Bacteria;Pseudomonadati;Myxococcota;Myxococcota_Incertae_sedis;Polyangiales;Polyangiaceae;Chondromyces	2.0	3.0	10.0	2.0	0.0	4.0	0.0	21.0
Bacteria;Pseudomonadati;Planctomycetota;Planctomycetia;Pirellulales;Thermoguttaceae;Thermostilla	7.0	3.0	4.0	2.0	5.0	0.0	0.0	21.0
Bacteria;Bacillati;Actinomycetota;Acidimicrobiia;Acidimicrobiales;Ilumatobacteraceae;Desertimonas	5.0	4.0	7.0	0.0	4.0	1.0	0.0	21.0
Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Sphaerotilaceae;Azohydromonas	0.0	1.0	2.0	1.0	12.0	4.0	0.0	20.0
Bacteria;Pseudomonadati;Planctomycetota;Planctomycetia;Pirellulales;Lacipirellulaceae;Lacipirellula	6.0	2.0	8.0	0.0	3.0	1.0	0.0	20.0
Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Lacisediminimonas	0.0	1.0	1.0	1.0	7.0	9.0	0.0	19.0
Bacteria;Pseudomonadati;Myxococcota;Myxococcia;Myxococcales;Archangiaceae;Archangium	0.0	0.0	5.0	0.0	2.0	12.0	0.0	19.0
Bacteria;Pseudomonadati;Bacteroidota;Chitinophagia;Chitinophagales;Chitinophagaceae;Puia	5.0	7.0	2.0	4.0	0.0	1.0	0.0	19.0
Bacteria;Pseudomonadati;Myxococcota;Myxococcota_Incertae_sedis;Polyangiales;Polyangiaceae;Minicystis	3.0	4.0	4.0	3.0	0.0	5.0	0.0	19.0
Bacteria;Pseudomonadati;Acidobacteriota;Terriglobia;Terriglobales;Acidobacteriaceae;Silvibacterium	1.0	0.0	0.0	16.0	0.0	1.0	0.0	18.0
Bacteria;Pseudomonadati;Myxococcota;Myxococcota_Incertae_sedis;Polyangiales;Polyangiaceae;Racemicystis	2.0	3.0	8.0	3.0	1.0	1.0	0.0	18.0
Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Undibacterium	1.0	7.0	1.0	0.0	2.0	7.0	0.0	18.0
Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Acetobacterales;Roseomonadaceae;Roseicella	0.0	0.0	1.0	16.0	0.0	1.0	0.0	18.0
Bacteria;Bacillati;Armatimonadota;Armatimonadia;Capsulimonadales;Capsulimonadaceae;Capsulimonas	1.0	4.0	0.0	7.0	1.0	5.0	0.0	18.0
Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Acetobacterales;Acidocellaceae;Acidiphilium	0.0	0.0	0.0	18.0	0.0	0.0	0.0	18.0
Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingobium	0.0	4.0	4.0	1.0	8.0	1.0	0.0	18.0
Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Phyllobacteriaceae;Phyllobacterium	5.0	2.0	4.0	0.0	6.0	1.0	0.0	18.0
Bacteria;Pseudomonadati;Acidobacteriota;Vicinamibacteria;Vicinamibacterales;Vicinamibacteraceae;Luteitalea	4.0	5.0	2.0	0.0	7.0	0.0	0.0	18.0
Bacteria;Pseudomonadati;Bacteroidota;Cytophagia;Cytophagales;Cytophagaceae;Sporocytophaga	2.0	1.0	2.0	0.0	7.0	6.0	0.0	18.0
Bacteria;Pseudomonadati;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Flavobacterium	3.0	4.0	0.0	0.0	11.0	0.0	0.0	18.0
Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Azospirillaceae;Nitrospirillum	0.0	1.0	0.0	16.0	0.0	0.0	0.0	17.0
Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Rhizobiaceae;Neorhizobium	0.0	1.0	0.0	1.0	5.0	10.0	0.0	17.0
Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Derxia	5.0	4.0	2.0	0.0	5.0	1.0	0.0	17.0
Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Sphaerotilaceae;Sphaerotilus	1.0	6.0	3.0	4.0	3.0	0.0	0.0	17.0
Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Hyphomicrobiales_Incertae_sedis;Vineibacter	4.0	5.0	2.0	0.0	5.0	0.0	0.0	16.0
Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Lichenicoccus	1.0	0.0	2.0	10.0	2.0	1.0	0.0	16.0
Bacteria;Pseudomonadati;Acidobacteriota;Terriglobia;Terriglobales;Acidobacteriaceae;Terracidiphilus	1.0	1.0	1.0	7.0	0.0	6.0	0.0	16.0
Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Lichenihabitantaceae;Lichenibacterium	0.0	1.0	0.0	13.0	1.0	1.0	0.0	16.0
Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Paenibacillaceae;Cohnella	3.0	3.0	1.0	3.0	4.0	2.0	0.0	16.0
Bacteria;Pseudomonadati;Myxococcota;Myxococcota_Incertae_sedis;Nannocystales;Nannocystaceae;Nannocystis	2.0	1.0	8.0	0.0	3.0	2.0	0.0	16.0
Bacteria;Bacillati;Cyanobacteriota;Cyanophyceae;Nostocales;Calotrichaceae;Dulcicalothrix	0.0	0.0	0.0	0.0	7.0	9.0	0.0	16.0
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Acidothermales;Acidothermaceae;Acidothermus	1.0	2.0	12.0	0.0	0.0	0.0	0.0	15.0
Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Lysobacteraceae;Stenotrophomonas	0.0	1.0	7.0	1.0	3.0	3.0	0.0	15.0
Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Azospira	1.0	7.0	4.0	0.0	2.0	1.0	0.0	15.0
Bacteria;Pseudomonadati;Bacteroidota;Chitinophagia;Chitinophagales;Chitinophagaceae;Parasegetibacter	1.0	0.0	5.0	0.0	6.0	3.0	0.0	15.0
Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Lysobacteraceae;Luteimonas	1.0	13.0	1.0	0.0	0.0	0.0	0.0	15.0
Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Oceanibaculaceae;Oceanibaculum	7.0	3.0	3.0	1.0	1.0	0.0	0.0	15.0
Bacteria;Pseudomonadati;Acidobacteriota;Terriglobia;Terriglobales;Acidobacteriaceae;Acidobacterium	0.0	2.0	1.0	7.0	1.0	4.0	0.0	15.0
Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Mycetohabitans	5.0	3.0	4.0	0.0	3.0	0.0	0.0	15.0
Bacteria;Bacillati;Cyanobacteriota;Cyanophyceae;Leptolyngbyales;Leptolyngbyaceae;Stenomitos	0.0	0.0	0.0	0.0	5.0	10.0	0.0	15.0
Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Bacillaceae;Niallia	0.0	1.0	2.0	4.0	1.0	7.0	0.0	15.0
Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Endobacter	0.0	0.0	0.0	12.0	1.0	1.0	0.0	14.0
Bacteria;Bacillati;Actinomycetota;Acidimicrobiia;Acidimicrobiales;Iamiaceae;Aquihabitans	1.0	6.0	3.0	1.0	3.0	0.0	0.0	14.0
Bacteria;Pseudomonadati;Bacteroidota;Chitinophagia;Chitinophagales;Chitinophagaceae;Niveitalea	0.0	5.0	0.0	0.0	7.0	2.0	0.0	14.0
Bacteria;Pseudomonadati;Myxococcota;Myxococcia;Myxococcales;Archangiaceae;Hyalangium	0.0	2.0	2.0	0.0	2.0	8.0	0.0	14.0
Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Trinickia	3.0	0.0	0.0	10.0	0.0	1.0	0.0	14.0
Bacteria;Bacillati;Cyanobacteriota;Cyanophyceae;Coleofasciculales;Wilmottiaceae;Pycnacronema	0.0	0.0	0.0	4.0	0.0	9.0	0.0	13.0
Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Ectothiorhodospira	9.0	2.0	1.0	0.0	1.0	0.0	0.0	13.0
Bacteria;Bacillati;Bacillota;Clostridia;Eubacteriales;Clostridiaceae;Clostridium	0.0	2.0	5.0	4.0	0.0	2.0	0.0	13.0
Bacteria;Bacillati;Cyanobacteriota;Cyanophyceae;Leptolyngbyales;Leptolyngbyaceae;Phormidesmis	0.0	1.0	0.0	0.0	0.0	12.0	0.0	13.0
Bacteria;Bacillati;Actinomycetota;Thermoleophilia;Miltoncostaeales;Miltoncostaeaceae;Miltoncostaea	1.0	3.0	3.0	1.0	2.0	2.0	0.0	12.0
Bacteria;Pseudomonadati;Bacteroidota;Cytophagia;Cytophagales;Cytophagaceae;Rhodocytophaga	0.0	0.0	0.0	0.0	6.0	6.0	0.0	12.0
Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Boseaceae;Bosea	2.0	2.0	3.0	0.0	2.0	3.0	0.0	12.0
Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Phyllobacteriaceae;Chelativorans	2.0	2.0	5.0	0.0	3.0	0.0	0.0	12.0
Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Granulibacter	1.0	1.0	1.0	6.0	2.0	1.0	0.0	12.0
Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Rhodoligotrophaceae;Rhodoligotrophos	5.0	1.0	5.0	0.0	1.0	0.0	0.0	12.0
Bacteria;Bacillati;Cyanobacteriota;Cyanophyceae;Oculatellales;Oculatellaceae;Oculatella	0.0	0.0	0.0	0.0	5.0	7.0	0.0	12.0
Bacteria;Bacillati;Chloroflexota;Caldilineae;Caldilineales;Caldilineaceae;Litorilinea	6.0	0.0	5.0	0.0	0.0	0.0	0.0	11.0
Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Duganella	0.0	2.0	2.0	1.0	2.0	4.0	0.0	11.0
Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Thioalbus	2.0	3.0	6.0	0.0	0.0	0.0	0.0	11.0
Bacteria;Bacillati;Cyanobacteriota;Cyanophyceae;Nostocales;Tolypothrichaceae;Kryptousia	0.0	0.0	0.0	0.0	11.0	0.0	0.0	11.0
Bacteria;Pseudomonadati;Planctomycetota;Planctomycetia;Pirellulales;Pirellulaceae;Pirellula	2.0	3.0	2.0	0.0	1.0	3.0	0.0	11.0
Bacteria;Bacillati;Cyanobacteriota;Cyanophyceae;Nostocales;Nostocaceae;Komarekiella	0.0	0.0	0.0	0.0	4.0	7.0	0.0	11.0
Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Methylocystaceae;Methylosinus	4.0	3.0	0.0	1.0	3.0	0.0	0.0	11.0
Bacteria;Bacillati;Actinomycetota;Acidimicrobiia;Acidimicrobiales;Ilumatobacteraceae;Ilumatobacter	7.0	3.0	1.0	0.0	0.0	0.0	0.0	11.0
Bacteria;Bacillati;Actinomycetota;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae;Acidiferrimicrobium	2.0	4.0	2.0	2.0	1.0	0.0	0.0	11.0
Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Lysobacteraceae;Thermomonas	2.0	6.0	3.0	0.0	0.0	0.0	0.0	11.0
Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Rhodanobacteraceae;Frateuria	0.0	0.0	0.0	3.0	0.0	8.0	0.0	11.0
Bacteria;Pseudomonadati;Acidobacteriota;Terriglobia;Terriglobales;Acidobacteriaceae;Bryocella	0.0	0.0	0.0	9.0	0.0	1.0	0.0	10.0
Bacteria;Pseudomonadati;Bacteroidota;Chitinophagia;Chitinophagales;Chitinophagaceae;Ilyomonas	0.0	0.0	1.0	1.0	5.0	3.0	0.0	10.0
Bacteria;Bacillati;Cyanobacteriota;Cyanophyceae;Pleurocapsales;Pleurocapsales_Incertae_sedis;Odorella	0.0	0.0	0.0	0.0	3.0	7.0	0.0	10.0
Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Pigmentiphaga	1.0	1.0	1.0	0.0	4.0	3.0	0.0	10.0
Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Afipia	0.0	0.0	4.0	0.0	3.0	3.0	0.0	10.0
Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Methylobacteriaceae;Enterovirga	0.0	1.0	0.0	0.0	3.0	6.0	0.0	10.0
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Microlunatus	1.0	2.0	1.0	1.0	4.0	1.0	0.0	10.0
Bacteria;Pseudomonadati;Acidobacteriota;Terriglobia;Terriglobales;Acidobacteriaceae;Acidicapsa	1.0	2.0	2.0	2.0	2.0	1.0	0.0	10.0
Bacteria;Bacillati;Cyanobacteriota;Cyanophyceae;Oculatellales;Oculatellaceae;Albertania	0.0	0.0	0.0	0.0	1.0	9.0	0.0	10.0
Bacteria;Bacillati;Cyanobacteriota;Cyanophyceae;Oculatellales;Oculatellaceae;Tildeniella	0.0	0.0	0.0	0.0	0.0	10.0	0.0	10.0
Bacteria;Bacillati;Cyanobacteriota;Cyanophyceae;Oculatellales;Oculatellaceae;Drouetiella	0.0	0.0	0.0	0.0	3.0	7.0	0.0	10.0
Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Caryophanaceae;Solibacillus	4.0	0.0	0.0	3.0	1.0	2.0	0.0	10.0
Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Rhodopseudomonas	1.0	2.0	4.0	0.0	0.0	3.0	0.0	10.0
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Micrococcales;Microbacteriaceae;Curtobacterium	0.0	0.0	1.0	1.0	2.0	1.0	5.0	10.0
Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Legionellales;Coxiellaceae;Aquicella	0.0	5.0	2.0	1.0	1.0	1.0	0.0	10.0
Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingosinicellaceae;Sphingosinicella	7.0	0.0	3.0	0.0	0.0	0.0	0.0	10.0
Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Hyphomicrobiaceae;Methyloceanibacter	1.0	0.0	9.0	0.0	0.0	0.0	0.0	10.0
Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Rhodanobacteraceae;Tahibacter	1.0	2.0	0.0	0.0	2.0	5.0	0.0	10.0
Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Rhodanobacteraceae;Luteibacter	1.0	1.0	1.0	0.0	4.0	3.0	0.0	10.0
Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Acetobacterales;Roseomonadaceae;Siccirubricoccus	0.0	0.0	0.0	5.0	1.0	4.0	0.0	10.0
Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Bacillaceae;Pseudoneobacillus	1.0	0.0	1.0	6.0	0.0	2.0	0.0	10.0
Bacteria;Pseudomonadati;Planctomycetota;Planctomycetia;Gemmatales;Gemmataceae;Limnoglobus	1.0	2.0	4.0	2.0	0.0	1.0	0.0	10.0
Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;Altererythrobacter	0.0	3.0	2.0	0.0	5.0	0.0	0.0	10.0
Bacteria;Bacillati;Armatimonadota;Chthonomonadia;Chthonomonadales;Chthonomonadaceae;Chthonomonas	0.0	3.0	1.0	2.0	3.0	1.0	0.0	10.0
Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Lysobacteraceae;Cognatilysobacter	1.0	4.0	0.0	0.0	0.0	5.0	0.0	10.0
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Pseudonocardiales;Pseudonocardiaceae;Pseudonocardia	2.0	0.0	3.0	1.0	0.0	3.0	0.0	9.0
Bacteria;Bacillati;Cyanobacteriota;Cyanophyceae;Leptolyngbyales;Leptolyngbyaceae;Myxacorys	0.0	0.0	0.0	0.0	0.0	9.0	0.0	9.0
Bacteria;Pseudomonadati;Acidobacteriota;Blastocatellia;Blastocatellales;Blastocatellaceae;Tellurimicrobium	2.0	3.0	1.0	0.0	1.0	2.0	0.0	9.0
Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Asticcacaulis	0.0	0.0	0.0	1.0	7.0	1.0	0.0	9.0
Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;Altericroceibacterium	1.0	5.0	1.0	1.0	0.0	1.0	0.0	9.0
Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Nitrosomonadales;Sulfuricellaceae;Sulfuricella	0.0	5.0	0.0	3.0	1.0	0.0	0.0	9.0
Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Rugamonas	0.0	4.0	1.0	1.0	2.0	1.0	0.0	9.0
Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Lautropia	0.0	0.0	0.0	0.0	6.0	3.0	0.0	9.0
Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Lichenihabitantaceae;Lichenihabitans	0.0	0.0	0.0	9.0	0.0	0.0	0.0	9.0
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Kitasatosporales;Streptomycetaceae;Streptomyces	3.0	4.0	1.0	0.0	1.0	0.0	0.0	9.0
Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Bacillaceae;Metabacillus	0.0	0.0	0.0	1.0	1.0	6.0	0.0	8.0
Bacteria;Pseudomonadati;Gemmatimonadota;Longimicrobiia;Longimicrobiales;Longimicrobiaceae;Longimicrobium	0.0	2.0	2.0	2.0	0.0	2.0	0.0	8.0
Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Thioalkalivibrio	3.0	1.0	2.0	0.0	2.0	0.0	0.0	8.0
Bacteria;Pseudomonadati;Bacteroidota;Chitinophagia;Chitinophagales;Chitinophagaceae;Hanamia	1.0	4.0	0.0	0.0	1.0	2.0	0.0	8.0
Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Azospirillaceae;Arenibaculum	0.0	1.0	2.0	3.0	1.0	1.0	0.0	8.0
Bacteria;Bacillati;Cyanobacteriota;Cyanophyceae;Oculatellales;Oculatellaceae;Komarkovaea	0.0	0.0	0.0	0.0	3.0	5.0	0.0	8.0
Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Cellvibrionales;Cellvibrionaceae;Cellvibrio	0.0	2.0	1.0	0.0	4.0	1.0	0.0	8.0
Bacteria;Bacillati;Cyanobacteriota;Cyanophyceae;Nostocales;Scytonemataceae;Brasilonema	0.0	0.0	0.0	0.0	7.0	1.0	0.0	8.0
Bacteria;Pseudomonadati;Bacteroidota;Chitinophagia;Chitinophagales;Chitinophagaceae;Chitinophaga	0.0	0.0	1.0	0.0	3.0	4.0	0.0	8.0
Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Hyphomicrobiaceae;Rhodomicrobium	2.0	1.0	1.0	0.0	4.0	0.0	0.0	8.0
Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Kaistiaceae;Kaistia	0.0	3.0	4.0	0.0	0.0	1.0	0.0	8.0
Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Rhodanobacteraceae;Mizugakiibacter	3.0	0.0	1.0	0.0	1.0	3.0	0.0	8.0
Bacteria;Pseudomonadati;Bacteroidota;Cytophagia;Cytophagales;Spirosomataceae;Dyadobacter	0.0	1.0	0.0	0.0	4.0	2.0	0.0	7.0
Bacteria;Pseudomonadati;Planctomycetota;Planctomycetia;Planctomycetales;Planctomycetaceae;Planctopirus	1.0	1.0	3.0	0.0	1.0	1.0	0.0	7.0
Bacteria;Bacillati;Cyanobacteriota;Cyanophyceae;Nostocales;Nostocaceae;Compactonostoc	0.0	0.0	0.0	0.0	6.0	1.0	0.0	7.0
Bacteria;Pseudomonadati;Planctomycetota;Planctomycetia;Pirellulales;Pirellulaceae;Blastopirellula	2.0	2.0	2.0	1.0	0.0	0.0	0.0	7.0
Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Pseudoroseomonas	0.0	0.0	0.0	1.0	5.0	1.0	0.0	7.0
Bacteria;Bacillati;Actinomycetota;Thermoleophilia;Solirubrobacterales;Baekduiaceae;Baekduia	0.0	1.0	2.0	0.0	3.0	1.0	0.0	7.0
Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Aurantimonadaceae;Aureimonas	1.0	0.0	0.0	0.0	0.0	6.0	0.0	7.0
Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Acetobacterales;Roseomonadaceae;Roseomonas	0.0	0.0	0.0	0.0	5.0	2.0	0.0	7.0
Bacteria;Bacillati;Cyanobacteriota;Cyanophyceae;Oculatellales;Oculatellaceae;Timaviella	0.0	0.0	0.0	0.0	2.0	5.0	0.0	7.0
Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Steroidobacterales;Steroidobacteraceae;Peristeroidobacter	2.0	1.0	2.0	0.0	2.0	0.0	0.0	7.0
Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Bacillaceae;Lysinibacillus	0.0	1.0	1.0	0.0	4.0	1.0	0.0	7.0
Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomonadales;Hyphomonadaceae;Asprobacter	5.0	1.0	1.0	0.0	0.0	0.0	0.0	7.0
